PheCode,Number.of.cases,Number.of.controls,Number.of.excluded.controls,Phenotype.Description,Phenotype.Category,URL.ManhattanPlot,Colors
287.31,420,"406,281","2,260",Primary thrombocytopenia,hematopoietic,https://www.dropbox.com/s/chtmivsq2htl7hd/287.31-Primarythrombocytopenia-420cases-406281controls.mh.pdf?dl=0,darkorange
287.32,73,"406,281","2,607",Secondary thrombocytopenia,hematopoietic,https://www.dropbox.com/s/emst7szr2wn77xl/287.32-Secondarythrombocytopenia-73cases-406281controls.mh.pdf?dl=0,darkorange
288,"3,788","401,375","3,798",Diseases of white blood cells,hematopoietic,https://www.dropbox.com/s/o23qb7i4eet8c9e/288-Diseasesofwhitebloodcells-3788cases-401375controls.mh.pdf?dl=0,darkorange
288.1,"3,184","401,375","4,402",Decreased white blood cell count,hematopoietic,https://www.dropbox.com/s/ybt078yuc9lxh1g/288.1-Decreasedwhitebloodcellcount-3184cases-401375controls.mh.pdf?dl=0,darkorange
288.11,"3,184","401,375","4,402",Neutropenia,hematopoietic,https://www.dropbox.com/s/8b50jlc7pw0rk0z/288.11-Neutropenia-3184cases-401375controls.mh.pdf?dl=0,darkorange
288.3,71,"401,375","7,515",Eosinophilia,hematopoietic,https://www.dropbox.com/s/gzkj8zqakctce42/288.3-Eosinophilia-71cases-401375controls.mh.pdf?dl=0,darkorange
289,"4,177","401,375","3,409",Other diseases of blood and blood-forming organs,hematopoietic,https://www.dropbox.com/s/hkb9hel5a3kf5ll/289-Otherdiseasesofbloodandblood-formingorgans-4177cases-401375controls.mh.pdf?dl=0,darkorange
289.3,291,"401,375","7,295",Personal history of diseases of blood and blood-forming organs,hematopoietic,https://www.dropbox.com/s/lttjnj37i17j4yz/289.3-Personalhistoryofdiseasesofbloodandblood-formingorgans-291cases-401375controls.mh.pdf?dl=0,darkorange
289.4,"2,622","401,375","4,964",Lymphadenitis,hematopoietic,https://www.dropbox.com/s/ik01m6dz8r7jdbg/289.4-Lymphadenitis-2622cases-401375controls.mh.pdf?dl=0,darkorange
289.5,515,"401,375","7,071",Diseases of spleen,hematopoietic,https://www.dropbox.com/s/maya2h2bz9iwxdk/289.5-Diseasesofspleen-515cases-401375controls.mh.pdf?dl=0,darkorange
289.8,295,"400,749","7,917","Polycythemia, secondary",hematopoietic,https://www.dropbox.com/s/fqwpy5g0od5z3cg/289.8-Polycythemia-secondary-295cases-400749controls.mh.pdf?dl=0,darkorange
289.9,90,"401,375","7,496",Abnormality of red blood cells,hematopoietic,https://www.dropbox.com/s/hy224he4tm4s6zj/289.9-Abnormalityofredbloodcells-90cases-401375controls.mh.pdf?dl=0,darkorange
290,"1,970","402,383","4,608",Delirium dementia and amnestic and other cognitive disorders,mental disorders,https://www.dropbox.com/s/j96ip0ehl4sjs9m/290-Deliriumdementiaandamnesticandothercognitivedisorders-1970cases-402383controls.mh.pdf?dl=0,tomato3
290.1,956,"402,383","5,622",Dementias,mental disorders,https://www.dropbox.com/s/3anlvxvzl3o7xhx/290.1-Dementias-956cases-402383controls.mh.pdf?dl=0,tomato3
290.11,404,"402,383","6,174",Alzheimer's disease,mental disorders,https://www.dropbox.com/s/nlewtwqtlplnkly/290.11-Alzheimersdisease-404cases-402383controls.mh.pdf?dl=0,tomato3
290.16,189,"402,383","6,389",Vascular dementia,mental disorders,https://www.dropbox.com/s/06yqkhk8ztmixjv/290.16-Vasculardementia-189cases-402383controls.mh.pdf?dl=0,tomato3
290.2,654,"402,383","5,924",Delirium due to conditions classified elsewhere,mental disorders,https://www.dropbox.com/s/xyqsi5h7f1xkv7b/290.2-Deliriumduetoconditionsclassifiedelsewhere-654cases-402383controls.mh.pdf?dl=0,tomato3
290.3,71,"402,383","6,507",Other persistent mental disorders due to conditions classified elsewhere,mental disorders,https://www.dropbox.com/s/e3wgxejmk7mszno/290.3-Otherpersistentmentaldisordersduetoconditionsclassifiedelsewhere-71cases-402383controls.mh.pdf?dl=0,tomato3
291,641,"402,383","5,937",Other specified nonpsychotic and/or transient mental disorders,mental disorders,https://www.dropbox.com/s/sfbyplegngl9s4a/291-Otherspecifiednonpsychoticandortransientmentaldisorders-641cases-402383controls.mh.pdf?dl=0,tomato3
291.1,121,"402,383","6,457",Transient mental disorders due to conditions classified elsewhere,mental disorders,https://www.dropbox.com/s/skoaw70pe51wvn6/291.1-Transientmentaldisordersduetoconditionsclassifiedelsewhere-121cases-402383controls.mh.pdf?dl=0,tomato3
291.4,85,"402,383","6,493",Specific nonpsychotic mental disorders due to brain damage,mental disorders,https://www.dropbox.com/s/4yj931chuggmih0/291.4-Specificnonpsychoticmentaldisordersduetobraindamage-85cases-402383controls.mh.pdf?dl=0,tomato3
291.8,440,"402,383","6,138",Alteration of consciousness,mental disorders,https://www.dropbox.com/s/5u0mb0tgku4ytmm/291.8-Alterationofconsciousness-440cases-402383controls.mh.pdf?dl=0,tomato3
292,"4,655","402,383","1,923",Neurological disorders,mental disorders,https://www.dropbox.com/s/4058c1fro4scust/292-Neurologicaldisorders-4655cases-402383controls.mh.pdf?dl=0,tomato3
292.1,"1,514","402,383","5,064",Aphasia/speech disturbance,mental disorders,https://www.dropbox.com/s/i20z2m70dan02m6/292.1-Aphasiaspeechdisturbance-1514cases-402383controls.mh.pdf?dl=0,tomato3
292.2,191,"402,383","6,387",Mild cognitive impairment,mental disorders,https://www.dropbox.com/s/wuhpri5mgx5nie9/292.2-Mildcognitiveimpairment-191cases-402383controls.mh.pdf?dl=0,tomato3
292.3,700,"402,383","5,878",Memory loss,mental disorders,https://www.dropbox.com/s/ygehvdqff8haj23/292.3-Memoryloss-700cases-402383controls.mh.pdf?dl=0,tomato3
292.4,"2,189","402,383","4,389",Altered mental status,mental disorders,https://www.dropbox.com/s/doiaoqjp4a2vtjv/292.4-Alteredmentalstatus-2189cases-402383controls.mh.pdf?dl=0,tomato3
292.6,308,"402,383","6,270",Hallucinations,mental disorders,https://www.dropbox.com/s/d7efu75b98d156j/292.6-Hallucinations-308cases-402383controls.mh.pdf?dl=0,tomato3
293,"2,986","405,975",0,Symptoms involving head and neck,mental disorders,https://www.dropbox.com/s/dwr5381phubiti5/293-Symptomsinvolvingheadandneck-2986cases-405975controls.mh.pdf?dl=0,tomato3
293.1,907,"405,975","2,079","Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]",mental disorders,https://www.dropbox.com/s/c4a0oks5k63g7ek/293.1-Swelling-mass-orlumpinheadandneck-Space-occupyinglesion-intracranialNOS--907cases-405975controls.mh.pdf?dl=0,tomato3
295,850,"365,476","42,635",Schizophrenia and other psychotic disorders,mental disorders,https://www.dropbox.com/s/v2b4nsua5f2o8ex/295-Schizophreniaandotherpsychoticdisorders-850cases-365476controls.mh.pdf?dl=0,tomato3
295.1,571,"365,476","42,914",Schizophrenia,mental disorders,https://www.dropbox.com/s/9t2dvin0rgh5s63/295.1-Schizophrenia-571cases-365476controls.mh.pdf?dl=0,tomato3
295.2,179,"365,476","43,306",Paranoid disorders,mental disorders,https://www.dropbox.com/s/zfex6h7uk84bu1c/295.2-Paranoiddisorders-179cases-365476controls.mh.pdf?dl=0,tomato3
295.3,171,"365,476","43,314",Psychosis,mental disorders,https://www.dropbox.com/s/1unu4gyv9164ph9/295.3-Psychosis-171cases-365476controls.mh.pdf?dl=0,tomato3
296,"12,560","365,476","30,925",Mood disorders,mental disorders,https://www.dropbox.com/s/hpgjpu2ipbk0tui/296-Mooddisorders-12560cases-365476controls.mh.pdf?dl=0,tomato3
296.1,"1,064","365,476","42,421",Bipolar,mental disorders,https://www.dropbox.com/s/m9td49dfv2m5k8l/296.1-Bipolar-1064cases-365476controls.mh.pdf?dl=0,tomato3
296.2,"11,901","365,476","31,584",Depression,mental disorders,https://www.dropbox.com/s/e0cmzhot1gjuv1g/296.2-Depression-11901cases-365476controls.mh.pdf?dl=0,tomato3
296.22,362,"365,476","43,123",Major depressive disorder,mental disorders,https://www.dropbox.com/s/lu81zzwjgoeku58/296.22-Majordepressivedisorder-362cases-365476controls.mh.pdf?dl=0,tomato3
297,343,"365,476","43,142",Suicidal ideation or attempt,mental disorders,https://www.dropbox.com/s/0qdbp1sxygffft9/297-Suicidalideationorattempt-343cases-365476controls.mh.pdf?dl=0,tomato3
297.2,319,"365,476","43,166",Suicide or self-inflicted injury,mental disorders,https://www.dropbox.com/s/2rnqqbecxd476er/297.2-Suicideorself-inflictedinjury-319cases-365476controls.mh.pdf?dl=0,tomato3
300,"6,939","365,476","36,546",Anxiety disorders,mental disorders,https://www.dropbox.com/s/anvwymkhvk9usbg/300-Anxietydisorders-6939cases-365476controls.mh.pdf?dl=0,tomato3
300.1,"6,375","365,476","37,110",Anxiety disorder,mental disorders,https://www.dropbox.com/s/1rcuc6xhi9ci135/300.1-Anxietydisorder-6375cases-365476controls.mh.pdf?dl=0,tomato3
300.11,150,"365,476","43,335",Generalized anxiety disorder,mental disorders,https://www.dropbox.com/s/zblhvyqd62oxso7/300.11-Generalizedanxietydisorder-150cases-365476controls.mh.pdf?dl=0,tomato3
300.12,709,"365,476","42,776","Agorophobia, social phobia, and panic disorder",mental disorders,https://www.dropbox.com/s/xqf5xg0n93v3mg4/300.12-Agorophobia-socialphobia-andpanicdisorder-709cases-365476controls.mh.pdf?dl=0,tomato3
300.13,503,"365,476","42,982",Phobia,mental disorders,https://www.dropbox.com/s/8ch1x0q84scsav3/300.13-Phobia-503cases-365476controls.mh.pdf?dl=0,tomato3
300.3,141,"365,476","43,344",Obsessive-compulsive disorders,mental disorders,https://www.dropbox.com/s/k6gb4li9d9w6z2r/300.3-Obsessive-compulsivedisorders-141cases-365476controls.mh.pdf?dl=0,tomato3
300.4,53,"365,476","43,432",Dysthymic disorder,mental disorders,https://www.dropbox.com/s/99ushbufi3dj637/300.4-Dysthymicdisorder-53cases-365476controls.mh.pdf?dl=0,tomato3
300.8,125,"365,476","43,360",Acute reaction to stress,mental disorders,https://www.dropbox.com/s/qufjptaxmtu3bf3/300.8-Acutereactiontostress-125cases-365476controls.mh.pdf?dl=0,tomato3
300.9,113,"365,476","43,372",Posttraumatic stress disorder,mental disorders,https://www.dropbox.com/s/fjxui4croayw4dk/300.9-Posttraumaticstressdisorder-113cases-365476controls.mh.pdf?dl=0,tomato3
301,336,"365,476","43,149",Personality disorders,mental disorders,https://www.dropbox.com/s/lkpr4qs9y0f41kp/301-Personalitydisorders-336cases-365476controls.mh.pdf?dl=0,tomato3
301.2,119,"365,476","43,366",Antisocial/borderline personality disorder,mental disorders,https://www.dropbox.com/s/m9mx84pd9evqhiu/301.2-Antisocialborderlinepersonalitydisorder-119cases-365476controls.mh.pdf?dl=0,tomato3
302,322,"365,476","43,163",Sexual and gender identity disorders,mental disorders,https://www.dropbox.com/s/hdobdfdvjs4wood/302-Sexualandgenderidentitydisorders-322cases-365476controls.mh.pdf?dl=0,tomato3
303,529,"365,476","42,956",Psychogenic and somatoform disorders,mental disorders,https://www.dropbox.com/s/tpza73wjn3nx61j/303-Psychogenicandsomatoformdisorders-529cases-365476controls.mh.pdf?dl=0,tomato3
303.3,354,"365,476","43,131",Psychogenic disorder,mental disorders,https://www.dropbox.com/s/0b6i34bcmaili1e/303.3-Psychogenicdisorder-354cases-365476controls.mh.pdf?dl=0,tomato3
303.4,124,"365,476","43,361",Somatoform disorder,mental disorders,https://www.dropbox.com/s/77ztg0tfsbt4a72/303.4-Somatoformdisorder-124cases-365476controls.mh.pdf?dl=0,tomato3
304,295,"365,476","43,190",Adjustment reaction,mental disorders,https://www.dropbox.com/s/ubpx5j40hzw2xig/304-Adjustmentreaction-295cases-365476controls.mh.pdf?dl=0,tomato3
305,90,"408,871",0,Eating disorder,mental disorders,https://www.dropbox.com/s/j4y2ezix6w8r13e/305-NA-90cases-408871controls.mh.pdf?dl=0,tomato3
305.2,90,"365,476","43,395",Eating disorder,mental disorders,https://www.dropbox.com/s/53pa5kt8zq61lba/305.2-Eatingdisorder-90cases-365476controls.mh.pdf?dl=0,tomato3
306,"28,791","365,476","14,694",Other mental disorder,mental disorders,https://www.dropbox.com/s/a36xmr47f454u4a/306-Othermentaldisorder-28791cases-365476controls.mh.pdf?dl=0,tomato3
306.9,315,"365,476","43,170",Tension headache,mental disorders,https://www.dropbox.com/s/wmn16aq6bjp6ude/306.9-Tensionheadache-315cases-365476controls.mh.pdf?dl=0,tomato3
313,77,"408,378",506,Pervasive developmental disorders,mental disorders,https://www.dropbox.com/s/lqwv7y2471hbxp2/313-Pervasivedevelopmentaldisorders-77cases-408378controls.mh.pdf?dl=0,tomato3
313.3,54,"408,378",529,Autism,mental disorders,https://www.dropbox.com/s/kqrwyzytw3fgr2r/313.3-Autism-54cases-408378controls.mh.pdf?dl=0,tomato3
315,496,"408,378",87,Develomental delays and disorders,mental disorders,https://www.dropbox.com/s/evanl0q8erp6mxf/315-Develomentaldelaysanddisorders-496cases-408378controls.mh.pdf?dl=0,tomato3
315.1,164,"408,378",419,Learning disorder,mental disorders,https://www.dropbox.com/s/b7b3borunv1t0fu/315.1-Learningdisorder-164cases-408378controls.mh.pdf?dl=0,tomato3
315.2,89,"408,378",494,Speech and language disorder,mental disorders,https://www.dropbox.com/s/i3mbm94us5kj0t3/315.2-Speechandlanguagedisorder-89cases-408378controls.mh.pdf?dl=0,tomato3
316,392,"379,355","29,214",Substance addiction and disorders,mental disorders,https://www.dropbox.com/s/n28ty8f5bbmqjp1/316-Substanceaddictionanddisorders-392cases-379355controls.mh.pdf?dl=0,tomato3
316.1,60,"379,355","29,546",Polyneuropathy due to drugs,mental disorders,https://www.dropbox.com/s/kbpabwgoj3d8cn6/316.1-Polyneuropathyduetodrugs-60cases-379355controls.mh.pdf?dl=0,tomato3
317,"12,922","379,355","16,684",Alcohol-related disorders,mental disorders,https://www.dropbox.com/s/kmo1cca9zczswak/317-Alcohol-relateddisorders-12922cases-379355controls.mh.pdf?dl=0,tomato3
317.1,"8,968","379,355","20,638",Alcoholism,mental disorders,https://www.dropbox.com/s/m4wbcimw9apbb3x/317.1-Alcoholism-8968cases-379355controls.mh.pdf?dl=0,tomato3
317.11,802,"379,355","28,804",Alcoholic liver damage,mental disorders,https://www.dropbox.com/s/spxbwwkkqpgibuv/317.11-Alcoholicliverdamage-802cases-379355controls.mh.pdf?dl=0,tomato3
318,"19,780","379,355","9,826",Tobacco use disorder,mental disorders,https://www.dropbox.com/s/xgo2rqtml4sqzfe/318-Tobaccousedisorder-19780cases-379355controls.mh.pdf?dl=0,tomato3
320,441,"407,888",632,Meningitis,neurological,https://www.dropbox.com/s/jrz899j2zgxpmee/320-Meningitis-441cases-407888controls.mh.pdf?dl=0,deeppink3
323,345,"407,888",728,Encephalitis,neurological,https://www.dropbox.com/s/6rba4gb7gp1xdjk/323-Encephalitis-345cases-407888controls.mh.pdf?dl=0,deeppink3
323.2,74,"407,888",999,Acute (transverse) myelitis,neurological,https://www.dropbox.com/s/r5rcqh7tskv9g0i/323.2-Acute-transverse-myelitis-74cases-407888controls.mh.pdf?dl=0,deeppink3
324,289,"407,888",784,Other CNS infection and poliomyelitis,neurological,https://www.dropbox.com/s/ynhd9jjislbi5wq/324-OtherCNSinfectionandpoliomyelitis-289cases-407888controls.mh.pdf?dl=0,deeppink3
327,"5,238","403,723",0,Sleep disorders,neurological,https://www.dropbox.com/s/rnzt49d6s826nkt/327-Sleepdisorders-5238cases-403723controls.mh.pdf?dl=0,deeppink3
327.3,"4,471","403,723",767,Sleep apnea,neurological,https://www.dropbox.com/s/a7wm479xd7p9cs0/327.3-Sleepapnea-4471cases-403723controls.mh.pdf?dl=0,deeppink3
327.4,166,"403,723","5,072",Insomnia,neurological,https://www.dropbox.com/s/zgqayd31s2ogr1x/327.4-Insomnia-166cases-403723controls.mh.pdf?dl=0,deeppink3
327.41,139,"403,723","5,099",Organic or persistent insomnia,neurological,https://www.dropbox.com/s/0dky4tzf3byq85r/327.41-Organicorpersistentinsomnia-139cases-403723controls.mh.pdf?dl=0,deeppink3
331,"1,112","395,209","12,640",Other cerebral degenerations,neurological,https://www.dropbox.com/s/qosljp3slqn0xxr/331-Othercerebraldegenerations-1112cases-395209controls.mh.pdf?dl=0,deeppink3
331.1,498,"395,209","13,254",Hydrocephalus,neurological,https://www.dropbox.com/s/0jjwfajjinxy2sy/331.1-Hydrocephalus-498cases-395209controls.mh.pdf?dl=0,deeppink3
331.9,416,"395,209","13,336","Cerebral degeneration, unspecified",neurological,https://www.dropbox.com/s/y6zs3plkzf6zb0f/331.9-Cerebraldegeneration-unspecified-416cases-395209controls.mh.pdf?dl=0,deeppink3
332,"1,127","395,209","12,625",Parkinson's disease,neurological,https://www.dropbox.com/s/faholrwiqagldb3/332-Parkinsonsdisease-1127cases-395209controls.mh.pdf?dl=0,deeppink3
333,891,"395,209","12,861",Extrapyramidal disease and abnormal movement disorders,neurological,https://www.dropbox.com/s/4aackgubz4q11p8/333-Extrapyramidaldiseaseandabnormalmovementdisorders-891cases-395209controls.mh.pdf?dl=0,deeppink3
333.1,216,"395,209","13,536",Essential tremor,neurological,https://www.dropbox.com/s/gntrdjg3xzxamio/333.1-Essentialtremor-216cases-395209controls.mh.pdf?dl=0,deeppink3
333.2,95,"395,209","13,657",Myoclonus,neurological,https://www.dropbox.com/s/4mudx1i6rzuuv57/333.2-Myoclonus-95cases-395209controls.mh.pdf?dl=0,deeppink3
333.4,253,"395,209","13,499",Torsion dystonia,neurological,https://www.dropbox.com/s/ouccj1qp5vwzwax/333.4-Torsiondystonia-253cases-395209controls.mh.pdf?dl=0,deeppink3
334,"1,789","395,209","11,963",Degenerative disease of the spinal cord,neurological,https://www.dropbox.com/s/kmxwe059c8t2a59/334-Degenerativediseaseofthespinalcord-1789cases-395209controls.mh.pdf?dl=0,deeppink3
334.1,116,"395,209","13,636",Spinocerebellar disease,neurological,https://www.dropbox.com/s/4njn7lxk040kyjn/334.1-Spinocerebellardisease-116cases-395209controls.mh.pdf?dl=0,deeppink3
334.2,221,"395,209","13,531",Anterior horn cell disease,neurological,https://www.dropbox.com/s/ei9t4etucafwzl1/334.2-Anteriorhorncelldisease-221cases-395209controls.mh.pdf?dl=0,deeppink3
335,"1,356","395,209","12,396",Multiple sclerosis,neurological,https://www.dropbox.com/s/n6lag78qk1k5v2z/335-Multiplesclerosis-1356cases-395209controls.mh.pdf?dl=0,deeppink3
337,266,"395,209","13,486",Disorders of the autonomic nervous system,neurological,https://www.dropbox.com/s/lgs0mmoszxsrv14/337-Disordersoftheautonomicnervoussystem-266cases-395209controls.mh.pdf?dl=0,deeppink3
337.1,72,"395,209","13,680",Peripheral autonomic neuropathy,neurological,https://www.dropbox.com/s/5f49iizzfb3fbp5/337.1-Peripheralautonomicneuropathy-72cases-395209controls.mh.pdf?dl=0,deeppink3
338,771,"408,190",0,Pain,symptoms,https://www.dropbox.com/s/bvmcabrg4exsb8t/338-Pain-771cases-408190controls.mh.pdf?dl=0,gray
338.1,395,"408,190",376,Acute pain,neurological,https://www.dropbox.com/s/ivcfbsscmr31olm/338.1-Acutepain-395cases-408190controls.mh.pdf?dl=0,deeppink3
338.2,382,"408,190",389,Chronic pain,neurological,https://www.dropbox.com/s/yeymsigdfiinvc4/338.2-Chronicpain-382cases-408190controls.mh.pdf?dl=0,deeppink3
339,"7,891","398,780","2,290",Other headache syndromes,neurological,https://www.dropbox.com/s/lfdo1m9nnlcf06r/339-Otherheadachesyndromes-7891cases-398780controls.mh.pdf?dl=0,deeppink3
340,"2,870","398,780","7,311",Migraine,neurological,https://www.dropbox.com/s/gn0d2zlth69bl27/340-Migraine-2870cases-398780controls.mh.pdf?dl=0,deeppink3
340.1,212,"398,780","9,969",Migrain with aura,neurological,https://www.dropbox.com/s/t8bbijjruj15x8j/340.1-Migrainwithaura-212cases-398780controls.mh.pdf?dl=0,deeppink3
341,255,"395,209","13,497",Other demyelinating diseases of central nervous system,neurological,https://www.dropbox.com/s/pr6ios64cvf5s29/341-Otherdemyelinatingdiseasesofcentralnervoussystem-255cases-395209controls.mh.pdf?dl=0,deeppink3
342,"1,500","395,209","12,252",Hemiplegia,neurological,https://www.dropbox.com/s/7uyf8my08p7kxhq/342-Hemiplegia-1500cases-395209controls.mh.pdf?dl=0,deeppink3
343,145,"395,209","13,607",Infantile cerebral palsy,neurological,https://www.dropbox.com/s/jayh6129h288xcl/343-Infantilecerebralpalsy-145cases-395209controls.mh.pdf?dl=0,deeppink3
344,660,"395,209","13,092",Other paralytic syndromes,neurological,https://www.dropbox.com/s/4ef0cakquqg6mpa/344-Otherparalyticsyndromes-660cases-395209controls.mh.pdf?dl=0,deeppink3
345,"5,087","395,209","8,665","Epilepsy, recurrent seizures, convulsions",neurological,https://www.dropbox.com/s/t88y1skzkaj4pli/345-Epilepsy-recurrentseizures-convulsions-5087cases-395209controls.mh.pdf?dl=0,deeppink3
345.1,901,"395,209","12,851",Epilepsy,neurological,https://www.dropbox.com/s/lsvlr0u4p159w1r/345.1-Epilepsy-901cases-395209controls.mh.pdf?dl=0,deeppink3
345.11,448,"395,209","13,304",Generalized convulsive epilepsy,neurological,https://www.dropbox.com/s/8ofnlsnx60jo3cr/345.11-Generalizedconvulsiveepilepsy-448cases-395209controls.mh.pdf?dl=0,deeppink3
345.12,280,"395,209","13,472",Partial epilepsy,neurological,https://www.dropbox.com/s/jg77h1y6ma21i7e/345.12-Partialepilepsy-280cases-395209controls.mh.pdf?dl=0,deeppink3
345.3,"2,232","395,209","11,520",Convulsions,neurological,https://www.dropbox.com/s/kbli87ji4q7ykjp/345.3-Convulsions-2232cases-395209controls.mh.pdf?dl=0,deeppink3
346,193,"395,209","13,559",Abnormal findings on study of brain and/or nervous system,neurological,https://www.dropbox.com/s/5y30l1xvbvzdyil/346-Abnormalfindingsonstudyofbrainandornervoussystem-193cases-395209controls.mh.pdf?dl=0,deeppink3
346.1,144,"395,209","13,608",Nonspecific abnormal findings on radiological and other examination of skull and head,neurological,https://www.dropbox.com/s/hsz4vjyd3q3coqt/346.1-Nonspecificabnormalfindingsonradiologicalandotherexaminationofskullandhead-144cases-395209controls.mh.pdf?dl=0,deeppink3
348,"1,426","395,209","12,326",Other conditions of brain,neurological,https://www.dropbox.com/s/xx7n2sa2bwt6p3e/348-Otherconditionsofbrain-1426cases-395209controls.mh.pdf?dl=0,deeppink3
348.2,258,"395,209","13,494",Cerebral edema and compression of brain,neurological,https://www.dropbox.com/s/wvcdwt8um7f0lq8/348.2-Cerebraledemaandcompressionofbrain-258cases-395209controls.mh.pdf?dl=0,deeppink3
348.4,136,"395,209","13,616",Cerebral cysts,neurological,https://www.dropbox.com/s/eslgfpdeb1gcixx/348.4-Cerebralcysts-136cases-395209controls.mh.pdf?dl=0,deeppink3
348.7,361,"395,209","13,391",Coma,neurological,https://www.dropbox.com/s/lahwkxgbyrzluix/348.7-Coma-361cases-395209controls.mh.pdf?dl=0,deeppink3
348.8,237,"395,209","13,515","Encephalopathy, not elsewhere classified",neurological,https://www.dropbox.com/s/vhdkfm9ig1inabg/348.8-Encephalopathy-notelsewhereclassified-237cases-395209controls.mh.pdf?dl=0,deeppink3
348.9,386,"395,209","13,366","Other conditions of brain, NOS",neurological,https://www.dropbox.com/s/0x00qzqcpikgggz/348.9-Otherconditionsofbrain-NOS-386cases-395209controls.mh.pdf?dl=0,deeppink3
349,336,"395,209","13,416",Other and unspecified disorders of the nervous system,neurological,https://www.dropbox.com/s/jnvw595dgzmjath/349-Otherandunspecifieddisordersofthenervoussystem-336cases-395209controls.mh.pdf?dl=0,deeppink3
350,"2,744","406,217",0,Abnormal movement,neurological,https://www.dropbox.com/s/5xszm161ahxl275/350-Abnormalmovement-2744cases-406217controls.mh.pdf?dl=0,deeppink3
350.1,888,"406,217","1,856",Abnormal involuntary movements,neurological,https://www.dropbox.com/s/tsadvwx4ewa3km1/350.1-Abnormalinvoluntarymovements-888cases-406217controls.mh.pdf?dl=0,deeppink3
350.2,"1,601","406,217","1,143",Abnormality of gait,neurological,https://www.dropbox.com/s/fdnit7dovpg344y/350.2-Abnormalityofgait-1601cases-406217controls.mh.pdf?dl=0,deeppink3
350.3,364,"406,217","2,380",Lack of coordination,neurological,https://www.dropbox.com/s/lyh2q2un289bjy4/350.3-Lackofcoordination-364cases-406217controls.mh.pdf?dl=0,deeppink3
350.6,54,"406,217","2,690",Disturbances of sensation of smell and taste,neurological,https://www.dropbox.com/s/gch1cvv1glw3h3y/350.6-Disturbancesofsensationofsmellandtaste-54cases-406217controls.mh.pdf?dl=0,deeppink3
351,"12,592","394,067","2,302",Other peripheral nerve disorders,neurological,https://www.dropbox.com/s/yl98h6n3lvwwx1u/351-Otherperipheralnervedisorders-12592cases-394067controls.mh.pdf?dl=0,deeppink3
352,"1,393","394,067","13,501",Disorders of other cranial nerves,neurological,https://www.dropbox.com/s/kmmleo33vy1pxj1/352-Disordersofothercranialnerves-1393cases-394067controls.mh.pdf?dl=0,deeppink3
352.1,465,"394,067","14,429",Trigeminal nerve disorders [CN5],neurological,https://www.dropbox.com/s/di4tu0x27ufrcer/352.1-Trigeminalnervedisorders-CN5--465cases-394067controls.mh.pdf?dl=0,deeppink3
352.2,880,"394,067","14,014",Facial nerve disorders [CN7],neurological,https://www.dropbox.com/s/6s5cidp4gpccvtz/352.2-Facialnervedisorders-CN7--880cases-394067controls.mh.pdf?dl=0,deeppink3
353,"1,139","394,067","13,755",Nerve root and plexus disorders,neurological,https://www.dropbox.com/s/622ss05jcucic1a/353-Nerverootandplexusdisorders-1139cases-394067controls.mh.pdf?dl=0,deeppink3
353.1,114,"394,067","14,780",Nerve plexus lesions,neurological,https://www.dropbox.com/s/1f4yn3m2yfpr6w3/353.1-Nerveplexuslesions-114cases-394067controls.mh.pdf?dl=0,deeppink3
353.2,57,"394,067","14,837",Nerve root lesions,neurological,https://www.dropbox.com/s/n3i0hm6hwaockmr/353.2-Nerverootlesions-57cases-394067controls.mh.pdf?dl=0,deeppink3
356,152,"406,852","1,957",Hereditary and idiopathic peripheral neuropathy,neurological,https://www.dropbox.com/s/5ue96vcv2dmk41g/356-Hereditaryandidiopathicperipheralneuropathy-152cases-406852controls.mh.pdf?dl=0,deeppink3
357,"1,368","406,852",741,Inflammatory and toxic neuropathy,neurological,https://www.dropbox.com/s/7806b1lq81gflfj/357-Inflammatoryandtoxicneuropathy-1368cases-406852controls.mh.pdf?dl=0,deeppink3
358,213,"406,852","1,896",Myoneural disorders,neurological,https://www.dropbox.com/s/l1y5wgjgslbrhgg/358-Myoneuraldisorders-213cases-406852controls.mh.pdf?dl=0,deeppink3
358.1,192,"406,852","1,917",Myasthenia gravis,neurological,https://www.dropbox.com/s/tqjk1u2exz5088k/358.1-Myastheniagravis-192cases-406852controls.mh.pdf?dl=0,deeppink3
359,470,"406,852","1,639",Muscular dystrophies and other myopathies,neurological,https://www.dropbox.com/s/shrqkuethu853i3/359-Musculardystrophiesandothermyopathies-470cases-406852controls.mh.pdf?dl=0,deeppink3
359.1,125,"406,852","1,984",Muscular dystrophies,neurological,https://www.dropbox.com/s/ujpn9f3sdy4nqrf/359.1-Musculardystrophies-125cases-406852controls.mh.pdf?dl=0,deeppink3
359.2,359,"406,852","1,750",Myopathy,neurological,https://www.dropbox.com/s/czdk5d4ll4ahc5c/359.2-Myopathy-359cases-406852controls.mh.pdf?dl=0,deeppink3
360,337,"397,761","10,863",Disorders of the globe,sense organs,https://www.dropbox.com/s/6xzq9rx4ydg43qa/360-Disordersoftheglobe-337cases-397761controls.mh.pdf?dl=0,gray1
360.2,251,"397,761","10,949",Progressive myopia,sense organs,https://www.dropbox.com/s/4cqnhmhkun2dhak/360.2-Progressivemyopia-251cases-397761controls.mh.pdf?dl=0,gray1
