Gene	CHR	nSNP
CXCR2	2	10
CXCR3	X	7
CXCR4	2	3
CXCR5	11	9
CXCR6	3	2
CXCR7	2	12
CXXC1	18	1
CXXC11	2	15
CXXC5	5	4
CXorf1	X	2
CXorf21	X	5
CXorf22	X	18
CXorf23	X	6
CXorf26	X	1
CXorf27	X	5
CXorf30	X	6
CXorf36	X	14
CXorf38	X	6
CXorf48	X	1
CXorf56	X	1
CXorf57	X	13
CXorf58	X	10
CXorf59	X	5
CXorf61	X	3
CXorf64	X	9
CXorf65	X	4
CXorf66	X	10
CXorf68	X	2
CYB561	17	7
CYB561D1	1	10
CYB561D2	3	10
CYB5A	18	1
CYB5B	16	3
CYB5D1	17	7
CYB5D2	17	12
CYB5R1	1	7
CYB5R2	11	19
CYB5R3	22	11
CYB5R4	6	15
CYB5RL	1	17
CYBA	16	5
CYBASC3	11	8
CYBB	X	6
CYBRD1	2	13
CYC1	8	8
CYFIP1	15	23
CYFIP2	5	4
CYGB	17	1
CYHR1	8	4
CYLC1	X	16
CYLC2	9	23
CYLD	16	4
CYP11A1	15	14
CYP11B1	8	8
CYP11B2	8	7
CYP17A1	10	7
CYP19A1	15	12
CYP1A1	15	34
CYP1A2	15	33
CYP1B1	2	22
CYP20A1	2	19
CYP21A2	6	1
CYP24A1	20	28
CYP26A1	10	7
CYP26B1	2	16
CYP26C1	10	11
CYP27A1	2	30
CYP27B1	12	6
CYP27C1	2	4
CYP2A13	19	8
CYP2A6	19	63
CYP2A7	19	5
CYP2B6	19	26
CYP2C18	10	20
CYP2C19	10	24
CYP2C8	10	29
CYP2C9	10	22
CYP2D6	22	12
CYP2D7P1	22	3
CYP2E1	10	17
CYP2F1	19	17
CYP2J2	1	21
CYP2R1	11	10
CYP2S1	19	11
CYP2U1	4	8
CYP2W1	7	12
CYP39A1	6	23
CYP3A4	7	25
CYP3A43	7	21
CYP3A5	7	20
CYP3A7	7	12
CYP46A1	14	3
CYP4A11	1	8
CYP4A22	1	16
CYP4B1	1	39
CYP4F11	19	19
CYP4F12	19	33
CYP4F2	19	12
CYP4F22	19	31
CYP4F3	19	17
CYP4V2	4	23
CYP4X1	1	12
CYP4Z1	1	7
CYP51A1	7	7
CYP7A1	8	15
CYP7B1	8	9
CYP8B1	3	17
CYR61	1	3
CYSLTR1	X	4
CYSLTR2	13	17
CYTH1	17	5
CYTH2	19	1
CYTH3	7	2
CYTH4	22	12
CYTIP	2	12
CYTL1	4	4
CYYR1	21	9
D2HGDH	2	14
DAAM1	14	12
DAAM2	6	34
DAB1	1	12
DAB2	5	20
DAB2IP	9	20
DACH1	13	6
DACH2	X	12
DACT1	14	23
DACT2	6	15
DACT3	19	2
DAD1	14	3
DAG1	3	20
DAGLA	11	7
DAGLB	7	31
DAK	11	21
DALRD3	3	8
DAND5	19	4
DAO	12	10
DAOA	13	6
DAP	5	3
DAP3	1	11
DAPK1	9	21
DAPK2	15	16
DAPK3	19	8
DAPL1	2	10
DAPP1	4	3
DARC	1	11
DARS	2	8
DARS2	1	22
DAXX	6	10
DAZAP2	12	5
DAZL	3	6
DBC1	9	20
DBF4	7	8
DBF4B	17	21
DBH	9	32
DBI	2	8
DBN1	5	15
DBNDD1	16	5
DBNDD2	20	4
DBNL	7	10
DBP	19	2
DBR1	3	16
DBT	1	17
DBX1	11	7
DBX2	12	11
DCAF10	9	2
DCAF11	14	15
DCAF12	9	11
DCAF12L1	X	3
DCAF12L2	X	2
DCAF13	8	25
DCAF15	19	9
DCAF16	4	5
DCAF17	2	9
DCAF4	14	24
DCAF4L1	4	5
DCAF4L2	8	10
DCAF5	14	14
DCAF6	1	16
DCAF7	17	1
DCAF8	1	8
DCAF8L1	X	9
DCAF8L2	X	7
DCAKD	17	11
DCBLD1	6	11
DCBLD2	3	24
DCC	18	35
DCD	12	8
DCDC1	11	13
DCDC2	6	12
DCDC2B	1	11
DCDC5	11	27
DCHS1	11	93
DCHS2	4	131
DCK	4	8
DCLK1	13	6
DCLK2	4	11
DCLK3	3	14
DCLRE1A	10	31
DCLRE1B	1	16
DCLRE1C	10	15
DCN	12	10
DCP1A	3	1
DCP1B	12	26
DCP2	5	5
DCPS	11	16
DCST1	1	25
DCST2	1	36
DCSTAMP	8	19
DCT	13	17
DCTD	4	3
DCTN1	2	23
DCTN2	12	5
DCTN3	9	3
DCTN4	5	18
DCTN5	16	1
DCTN6	8	6
DCTPP1	16	1
DCUN1D2	13	4
DCUN1D3	16	2
DCUN1D4	4	8
DCUN1D5	11	3
DCX	X	2
DCXR	17	4
DDAH1	1	7
DDAH2	6	2
DDB1	11	6
DDB2	11	8
DDC	7	14
DDHD1	14	10
DDHD2	8	14
DDI1	11	16
DDI2	1	5
DDIT3	12	5
DDIT4	10	4
DDIT4L	4	9
DDN	12	7
DDO	6	32
DDOST	1	10
DDR1	6	19
DDR2	1	14
DDRGK1	20	8
DDT	22	1
DDTL	22	2
DDX1	2	10
DDX10	11	26
DDX11	12	2
DDX17	22	6
DDX18	2	13
DDX19A	16	5
DDX19B	16	3
DDX20	1	32
DDX21	10	16
DDX23	12	4
DDX24	14	28
DDX25	11	12
DDX26B	X	5
DDX27	20	21
DDX28	16	17
DDX31	9	39
DDX39A	19	3
DDX3X	X	3
DDX3Y	Y	2
DDX4	5	19
DDX41	5	9
DDX42	17	14
DDX43	6	18
DDX46	5	1
DDX47	12	24
DDX49	19	15
DDX5	17	2
DDX50	10	10
DDX51	12	27
DDX52	17	27
DDX53	X	17
DDX54	12	29
DDX55	12	25
DDX56	7	12
DDX58	9	27
DDX59	1	25
DDX6	11	3
DDX60	4	36
DDX60L	4	68
DEAF1	11	9
DEC1	9	6
DECR1	8	7
DECR2	16	12
DEDD	1	3
DEDD2	19	5
DEF6	6	10
DEF8	16	8
DEFA4	8	11
DEFA5	8	1
DEFA6	8	7
DEFB1	8	9
DEFB105B	8	1
DEFB106B	8	1
DEFB110	6	4
DEFB112	6	7
DEFB113	6	7
DEFB114	6	2
DEFB115	20	4
DEFB116	20	4
DEFB118	20	6
DEFB119	20	15
DEFB121	20	3
DEFB123	20	2
DEFB124	20	4
DEFB125	20	9
DEFB126	20	6
DEFB127	20	5
DEFB128	20	8
DEFB129	20	8
DEFB131	4	2
DEFB132	20	10
DEFB133	6	2
DEFB134	8	1
DEFB135	8	5
DEFB136	8	3
DEGS1	1	7
DEGS2	14	9
DEK	6	5
DEM1	1	13
DENND1A	9	20
DENND1B	1	4
DENND1C	19	24
DENND2A	7	32
DENND2C	1	36
DENND2D	1	12
DENND3	8	27
DENND4A	15	21
DENND4B	1	18
DENND4C	9	47
DENND5A	11	21
DENND5B	12	13
DENR	12	1
DEPDC1	1	11
DEPDC1B	5	7
DEPDC4	12	7
DEPDC5	22	36
DEPDC7	11	12
DEPTOR	8	13
DERA	12	4
DERL1	8	5
DERL3	22	12
DES	2	11
DESI1	22	4
DESI2	1	3
DET1	15	13
DFFA	1	13
DFFB	1	8
DFNA5	7	23
DFNB31	9	44
DFNB59	2	13
DGAT1	8	12
DGAT2	11	10
DGAT2L6	X	8
DGCR14	22	12
DGCR2	22	18
DGCR6	22	1
DGCR6L	22	2
DGCR8	22	16
DGKA	12	10
DGKB	7	9
DGKD	2	11
DGKE	17	7
DGKG	3	29
DGKH	13	28
DGKI	7	13
DGKK	X	3
DGKQ	4	20
DGKZ	11	14
DGUOK	2	13
DHCR24	1	10
DHCR7	11	26
DHDDS	1	5
DHDH	19	21
DHFRL1	3	1
DHH	12	3
DHODH	16	16
DHPS	19	10
DHRS1	14	11
DHRS11	17	5
DHRS12	13	9
DHRS13	17	12
DHRS2	14	22
DHRS3	1	9
DHRS4	14	9
DHRS4L2	14	2
DHRS7	14	11
DHRS7B	17	11
DHRS7C	17	16
DHRS9	2	18
DHRSX	X	5
DHTKD1	10	30
DHX15	4	3
DHX16	6	21
DHX29	5	18
DHX30	3	8
DHX32	10	18
DHX33	17	22
DHX34	19	29
DHX35	20	31
DHX36	3	15
DHX37	12	42
DHX38	16	25
DHX40	17	4
DHX57	2	46
DHX58	17	33
DHX8	17	18
DHX9	1	2
DIABLO	12	9
DIAPH1	5	15
DIAPH2	X	4
DIAPH3	13	35
DICER1	14	18
DIDO1	20	55
DIEXF	1	16
DIMT1	5	5
DIO1	1	7
DIO2	14	4
DIO3	14	1
DIP2A	21	37
DIP2B	12	20
DIP2C	10	13
DIRAS1	19	2
DIRAS3	1	2
DIRC1	2	4
DIRC2	3	7
DIS3	13	39
DIS3L	15	37
DIS3L2	2	14
DISC1	1	30
DISP1	1	38
DISP2	15	30
DIXDC1	11	14
DKC1	X	4
DKK1	10	8
DKK2	4	9
DKK3	11	11
DKK4	8	6
DKKL1	19	13
DLAT	11	17
DLC1	8	43
DLD	7	14
DLEC1	3	67
DLEU7	13	2
DLG1	3	21
DLG2	11	14
DLG3	X	4
DLG4	17	4
DLG5	10	42
DLGAP1	18	10
DLGAP2	8	14
DLGAP3	1	11
DLGAP4	20	17
DLGAP5	14	28
DLK1	14	15
DLK2	6	10
DLL1	6	22
DLL3	19	10
DLL4	15	9
DLST	14	8
DLX1	2	2
DLX2	2	6
DLX3	17	5
DLX4	17	6
DLX5	7	4
DLX6	7	2
DMAP1	1	11
DMBT1	10	42
DMBX1	1	11
DMC1	22	6
DMD	X	73
DMGDH	5	34
DMKN	19	18
DMP1	4	22
DMPK	19	15
DMRT1	9	8
DMRT2	9	21
DMRT3	9	16
DMRTA1	9	20
DMRTB1	1	5
DMRTC2	19	4
DMTF1	7	17
DMWD	19	5
DMXL1	5	69
DMXL2	15	56
DNA2	10	25
DNAAF1	16	47
DNAAF2	14	18
DNAAF3	19	18
DNAH1	3	134
DNAH10	12	156
DNAH11	7	149
DNAH12	3	73
DNAH14	1	83
DNAH17	17	1428
DNAH2	17	114
DNAH3	16	173
DNAH5	5	184
DNAH6	2	63
DNAH7	2	155
DNAH8	6	148
DNAH9	17	154
DNAI1	9	25
DNAI2	17	27
DNAJA1	9	3
DNAJA2	16	1
DNAJA3	16	16
DNAJA4	15	13
DNAJB1	19	6
DNAJB11	3	7
DNAJB12	10	11
DNAJB13	11	11
DNAJB14	4	6
DNAJB2	2	5
DNAJB4	1	7
DNAJB5	9	5
DNAJB6	7	4
DNAJB7	22	10
DNAJB8	3	12
DNAJB9	7	8
DNAJC1	10	11
DNAJC10	2	21
DNAJC11	1	11
DNAJC12	10	6
DNAJC13	3	46
DNAJC14	12	10
DNAJC15	13	8
DNAJC16	1	14
DNAJC17	15	11
DNAJC18	5	10
DNAJC19	3	1
DNAJC2	7	6
DNAJC21	5	21
DNAJC22	12	11
DNAJC24	11	4
DNAJC25	9	2
DNAJC27	2	5
DNAJC28	21	19
DNAJC3	13	7
DNAJC30	7	8
DNAJC4	11	9
DNAJC5	20	1
DNAJC5B	8	8
DNAJC5G	2	10
DNAJC6	1	19
DNAJC7	17	6
DNAJC8	1	2
DNAJC9	10	5
DNAL1	14	3
DNAL4	22	3
DNALI1	1	12
DNASE1	16	31
DNASE1L1	X	8
DNASE1L2	16	10
DNASE1L3	3	13
DNASE2	19	6
DNASE2B	1	13
DNER	2	21
DNHD1	11	110
DNLZ	9	8
DNM1	9	6
DNM1L	12	9
DNM2	19	11
DNM3	1	7
DNMBP	10	46
DNMT1	19	26
DNMT3A	2	9
DNMT3B	20	16
DNMT3L	21	14
DNPEP	2	15
DNTT	10	20
DNTTIP1	20	5
DNTTIP2	1	16
DOC2A	16	12
DOC2B	17	1
DOCK1	10	34
DOCK10	2	43
DOCK11	X	23
DOCK2	5	40
DOCK3	3	23
DOCK4	7	29
DOCK5	8	38
DOCK6	19	54
DOCK7	1	24
DOCK8	9	60
DOCK9	13	26
DOHH	19	4
DOK1	2	7
DOK2	8	18
DOK3	5	14
DOK4	16	9
DOK5	20	10
DOK6	18	5
DOK7	4	33
DOLK	9	13
DOLPP1	9	4
DOM3Z	6	14
DONSON	21	19
DOPEY1	6	41
DOPEY2	21	75
DOT1L	19	10
DPAGT1	11	5
DPCD	10	5
DPCR1	6	15
DPEP1	16	17
DPEP2	16	14
DPEP3	16	12
DPF1	19	3
DPF2	11	2
DPF3	14	8
DPH1	17	18
DPH2	1	13
DPH3	3	1
DPH5	1	7
DPM1	20	4
DPM2	9	3
DPP10	2	17
DPP3	11	27
DPP4	2	14
DPP6	7	9
DPP7	9	20
DPP8	15	15
DPP9	19	21
DPPA2	3	3
DPPA3	12	2
DPPA4	3	8
DPPA5	6	1
DPRX	19	6
DPT	1	11
DPY19L1	7	4
DPY19L2	12	7
DPY19L3	19	14
DPY19L4	8	35
DPYD	1	54
DPYS	8	23
DPYSL2	8	5
DPYSL3	5	5
DPYSL4	10	11
DPYSL5	2	7
DQX1	2	21
DR1	1	5
DRAM2	1	6
DRAP1	11	1
DRAXIN	1	9
DRD1	5	4
DRD2	11	4
DRD3	3	12
DRD4	11	8
DRD5	4	8
DRG1	22	2
DRG2	17	4
DRGX	10	7
DROSHA	5	16
DRP2	X	15
DSC1	18	28
DSC2	18	323
DSC3	18	43
DSCAM	21	25
DSCAML1	11	32
DSCC1	8	14
DSCR3	21	7
DSCR4	21	7
DSCR6	21	14
DSE	6	20
DSEL	18	34
DSG1	18	47
DSG2	18	355
DSG3	18	29
DSG4	18	49
DSN1	20	11
DSP	6	1107
DSPP	4	25
DST	6	150
DSTYK	1	19
DTD1	20	7
DTHD1	4	14
DTL	1	13
DTNA	18	22
DTNB	2	17
DTNBP1	6	12
DTWD1	15	3
DTWD2	5	10
DTX1	12	1
DTX2	7	8
DTX3	12	2
DTX3L	3	19
DTX4	11	11
DTYMK	2	2
DUOX1	15	48
DUOX2	15	59
DUOXA1	15	19
DUOXA2	15	4
DUPD1	10	10
DUS1L	17	7
DUS2L	16	23
DUS3L	19	14
DUS4L	7	8
DUSP1	5	4
DUSP10	1	7
DUSP11	2	5
DUSP12	1	9
DUSP13	10	26
DUSP14	17	2
DUSP15	20	5
DUSP16	12	16
DUSP18	22	6
DUSP19	2	5
DUSP2	2	2
DUSP21	X	4
DUSP22	6	15
DUSP23	1	5
DUSP26	8	3
DUSP27	1	51
DUSP28	2	1
DUSP3	17	2
DUSP4	8	6
DUSP5	10	11
DUSP6	12	9
DUSP7	3	2
DUSP8	11	1
DUSP9	X	2
DUT	15	1
DUXA	19	10
DVL1	1	16
DVL2	17	18
DVL3	3	10
DYDC1	10	4
DYDC2	10	7
DYM	18	18
DYNC1H1	14	26
DYNC1I1	7	8
DYNC1I2	2	7
DYNC1LI1	3	12
DYNC1LI2	16	6
DYNC2H1	11	108
DYNC2LI1	2	20
DYNLL1	12	1
DYNLRB1	20	1
DYNLRB2	16	6
DYNLT1	6	3
DYNLT3	X	2
DYRK1A	21	11
DYRK1B	19	13
DYRK2	12	6
DYRK3	1	17
DYRK4	12	14
DYSF	2	108
DYTN	2	25
DYX1C1	15	17
DZANK1	20	24
DZIP1	13	17
DZIP1L	3	28
DZIP3	3	26
E2F1	20	9
E2F2	1	12
E2F3	6	5
E2F4	16	4
E2F5	8	3
E2F6	2	2
E2F7	12	25
E2F8	11	25
E4F1	16	20
EAF1	3	10
EAF2	3	12
EAPP	14	13
EARS2	16	20
EBAG9	8	2
EBF1	5	3
EBF2	8	2
EBF4	20	1
EBI3	19	6
EBLN2	3	10
EBNA1BP2	1	5
EBP	X	6
EBPL	13	5
ECD	10	26
ECE1	1	20
ECE2	3	30
ECEL1	2	21
ECH1	19	8
ECHDC1	6	7
ECHDC2	1	11
ECHDC3	10	15
ECHS1	10	4
ECI1	16	16
ECI2	6	23
ECM1	1	19
ECM2	9	28
ECSCR	5	3
ECSIT	19	15
ECT2	3	17
ECT2L	6	39
EDA	X	4
EDA2R	X	9
EDAR	2	12
EDARADD	1	5
EDC3	15	9
EDC4	16	15
EDDM3A	14	9
EDDM3B	14	5
EDEM1	3	16
EDEM2	20	15
EDEM3	1	14
EDF1	9	3
EDIL3	5	14
EDN1	6	13
EDN2	1	8
EDN3	20	4
EDNRA	4	2
EDNRB	13	15
EEA1	12	28
EED	11	3
EEF1A1	6	1
EEF1D	8	24
EEF1E1	6	2
EEF1E1-MUTED	6	5
EEF1G	11	1
EEF2	19	3
EEF2K	16	32
EEFSEC	3	14
EEPD1	7	15
EFCAB1	8	6
EFCAB11	14	10
EFCAB12	3	24
EFCAB13	17	34
EFCAB2	1	6
EFCAB3	17	14
EFCAB4A	11	9
EFCAB4B	12	25
EFCAB5	17	46
EFCAB6	22	75
EFCAB7	1	26
EFCAB8	20	5
EFCAB9	5	3
EFEMP1	2	5
EFEMP2	11	11
EFHA1	13	15
EFHA2	8	10
EFHB	3	35
EFHC1	6	29
EFHC2	X	12
EFHD1	2	7
EFHD2	1	1
EFNA1	1	5
EFNA2	19	1
EFNA3	1	5
EFNA4	1	9
EFNA5	5	3
EFNB1	X	5
EFNB2	13	1
EFNB3	17	3
EFR3A	8	17
EFR3B	2	4
EFS	14	22
EFTUD1	15	21
EFTUD2	17	4
EGF	4	47
EGFL6	X	15
EGFL7	9	8
EGFL8	6	12
EGFLAM	5	45
EGFR	7	24
EGLN1	1	3
EGLN2	19	3
EGLN3	14	1
EGR1	5	3
EGR2	10	5
EGR3	8	3
EGR4	2	5
EHBP1	2	34
EHBP1L1	11	25
EHD1	11	7
EHD2	19	7
EHD3	2	13
EHD4	15	10
EHF	11	6
EHHADH	3	40
EHHADH-AS1	3	1
EHMT1	9	28
EHMT2	6	14
EI24	11	7
EID2	19	2
EID2B	19	1
EID3	12	8
EIF1AD	11	5
EIF1AY	Y	1
EIF2A	3	10
EIF2AK1	7	24
EIF2AK2	2	4
EIF2AK3	2	20
EIF2AK4	15	34
EIF2B1	12	6
EIF2B2	14	9
EIF2B3	1	16
EIF2B4	2	8
EIF2B5	3	15
EIF2C1	1	3
EIF2C2	8	1
EIF2C3	1	7
EIF2C4	1	9
EIF2D	1	13
EIF2S1	14	2
EIF2S2	20	1
EIF2S3	X	1
EIF3A	10	19
EIF3B	7	7
EIF3C	16	1
EIF3D	22	1
EIF3E	8	2
EIF3F	11	5
EIF3G	19	2
EIF3H	8	4
EIF3I	1	1
EIF3J	15	5
EIF3K	19	4
EIF3L	22	1
EIF3M	11	2
EIF4A3	17	1
EIF4B	12	4
EIF4E1B	5	9
EIF4E2	2	1
EIF4EBP1	8	1
EIF4EBP2	10	2
EIF4EBP3	5	1
EIF4ENIF1	22	18
EIF4G1	3	32
EIF4G2	11	4
EIF4G3	1	28
EIF4H	7	1
EIF5	14	3
EIF5A	17	2
EIF5A2	3	3
EIF5B	2	19
EIF6	20	7
ELAC1	18	9
ELAC2	17	17
ELANE	19	3
ELAVL1	19	1
ELAVL2	9	3
ELAVL4	1	5
ELF1	13	23
ELF2	4	7
ELF3	1	9
ELF4	X	7
ELF5	11	8
ELFN1	7	2
ELFN2	22	20
ELK1	X	4
ELK3	12	9
ELK4	1	5
ELL	19	9
ELL2	5	9
ELL3	15	17
ELMO1	7	8
ELMO2	20	8
ELMO3	16	26
ELMOD1	11	5
ELMOD2	4	5
ELMOD3	2	18
ELN	7	26
ELOVL1	1	2
ELOVL2	6	9
ELOVL3	10	9
ELOVL4	6	5
ELOVL5	6	6
ELOVL6	4	1
ELOVL7	5	6
ELP2	18	23
ELP3	8	10
ELP4	11	14
ELP5	17	13
ELP6	3	10
ELSPBP1	19	12
ELTD1	1	24
EMB	5	6
EMC1	1	25
EMC10	19	9
EMC2	8	1
EMC3	3	1
EMC4	15	2
EMC6	17	1
EMC7	15	2
EMC8	16	4
EMC9	14	10
EMCN	4	8
EMD	X	8
EME1	17	31
EME2	16	20
EMID1	22	12
EMID2	7	13
EMILIN1	2	22
EMILIN2	18	27
EMILIN3	20	25
EML1	14	11
EML2	19	17
EML3	11	9
EML4	2	18
EML5	14	21
EML6	2	23
EMP1	12	11
EMP2	16	15
EMP3	19	5
EMR1	19	47
EMR2	19	30
EMR3	19	25
EMX1	2	1
EMX2	10	1
EN1	2	1
EN2	7	1
ENAH	1	8
ENAM	4	33
ENC1	5	2
ENDOD1	11	15
ENDOG	9	7
ENDOU	12	26
ENDOV	17	19
ENG	9	15
ENGASE	17	34
ENKUR	10	17
ENO1	1	8
ENO2	12	4
ENO3	17	11
ENO4	10	6
ENOPH1	4	3
ENOSF1	18	19
ENOX1	13	7
ENOX2	X	13
ENPEP	4	29
ENPP1	6	30
ENPP2	8	22
ENPP3	6	39
ENPP4	6	10
ENPP5	6	19
ENPP6	4	10
ENPP7	17	23
ENSA	1	2
ENTHD1	22	11
ENTHD2	17	16
ENTPD1	10	8
ENTPD2	9	13
ENTPD3	3	22
ENTPD4	8	25
ENTPD5	14	12
ENTPD6	20	19
ENTPD7	10	14
ENTPD8	9	20
EOGT	3	16
EOMES	3	5
EP300	22	46
EP400	12	61
EP400NL	12	2
EPAS1	2	26
EPB41	1	19
EPB41L1	20	14
EPB41L2	6	26
EPB41L3	18	26
EPB41L4A	5	44
EPB41L4B	9	21
EPB41L5	2	23
EPB42	15	21
EPB49	8	7
EPC1	10	12
EPC2	2	9
EPCAM	2	14
EPDR1	7	10
EPG5	18	78
EPGN	4	5
EPHA1	7	44
EPHA10	1	37
EPHA2	1	31
EPHA3	3	17
EPHA4	2	12
EPHA5	4	24
EPHA6	3	22
EPHA7	6	14
EPHA8	1	38
EPHB1	3	15
EPHB2	1	19
EPHB3	3	17
EPHB4	7	19
EPHB6	7	20
EPHX1	1	27
EPHX2	8	35
EPHX3	19	12
EPHX4	1	6
EPM2A	6	10
EPM2AIP1	3	4
EPN1	19	14
EPN2	17	10
EPN3	17	19
EPO	7	5
EPOR	19	6
EPPIN	20	8
EPPK1	8	102
EPRS	1	38
EPS15	1	23
EPS15L1	19	14
EPS8	12	27
EPS8L1	19	20
EPS8L2	11	12
EPS8L3	1	20
EPSTI1	13	21
EPT1	2	5
EPX	17	45
EPYC	12	15
ERAL1	17	9
ERAP1	5	48
ERAP2	5	39
ERAS	X	2
ERBB2	17	29
ERBB2IP	5	33
ERBB3	12	32
ERBB4	2	16
ERC1	12	25
ERC2	3	12
ERCC1	19	9
ERCC2	19	24
ERCC3	2	25
ERCC4	16	30
ERCC5	13	47
ERCC6	10	70
ERCC6L	X	12
ERCC6L2	9	20
ERCC8	5	14
EREG	4	5
ERF	19	1
ERG	21	6
ERGIC1	5	5
ERGIC2	12	2
ERGIC3	20	3
ERI1	8	9
ERI2	16	16
ERI3	1	1
ERICH1	8	27
ERLEC1	2	17
ERLIN1	10	6
ERLIN2	8	4
ERMAP	1	19
ERMN	2	6
ERMP1	9	21
ERN1	17	18
ERN2	16	31
ERO1L	14	5
ERO1LB	1	16
ERP27	12	9
ERP29	12	8
ERP44	9	7
ERRFI1	1	11
ERV3-1	7	33
ERVFRD-1	6	7
ERVMER34-1	4	7
ESAM	11	14
ESCO1	18	14
ESCO2	8	22
ESD	13	6
ESF1	20	17
ESM1	5	4
ESPL1	12	44
ESPN	1	8
ESPNL	2	33
ESR1	6	11
ESR2	14	17
ESRP1	8	7
ESRP2	16	16
ESRRA	11	1
ESRRB	14	13
ESRRG	1	5
ESX1	X	3
ESYT1	12	34
ESYT2	7	20
ESYT3	3	44
ETAA1	2	23
ETFA	15	11
ETFB	19	16
ETFDH	4	15
ETHE1	19	4
ETNK1	12	10
ETNK2	1	5
ETS1	11	10
ETS2	21	9
ETV1	7	4
ETV2	19	6
ETV3	1	1
ETV3L	1	15
ETV4	17	17
ETV5	3	7
ETV6	12	5
ETV7	6	18
EVC	4	49
EVC2	4	50
EVI2A	17	9
EVI2B	17	13
EVI5	1	21
EVI5L	19	2
EVL	14	6
EVPL	17	66
EVPLL	17	2
EVX1	7	2
EVX2	2	4
EWSR1	22	6
EXD1	15	17
EXD2	14	11
EXD3	9	60
EXO1	1	50
EXOC1	4	9
EXOC2	6	14
EXOC3	5	10
EXOC3L1	16	26
EXOC3L2	19	9
EXOC3L4	14	27
EXOC4	7	17
EXOC5	14	5
EXOC6	10	24
EXOC6B	2	16
EXOC7	17	12
EXOC8	1	9
EXOG	3	13
EXOSC1	10	6
EXOSC10	1	19
EXOSC2	9	10
EXOSC3	9	10
EXOSC4	8	6
EXOSC5	19	8
EXOSC6	16	2
EXOSC7	3	8
EXOSC8	13	5
EXOSC9	4	14
EXPH5	11	86
EXT1	8	6
EXT2	11	26
EXTL1	1	22
EXTL2	1	15
EXTL3	8	11
EYA1	8	10
EYA2	20	20
EYA3	1	8
EYA4	6	11
EYS	6	73
EZH1	17	6
EZH2	7	5
EZR	6	11
F10	13	8
F11	4	36
F11R	1	13
F12	5	12
F13A1	6	36
F13B	1	14
F2	11	15
F2R	5	7
F2RL1	5	9
F2RL2	5	12
F2RL3	19	12
F3	1	9
F5	1	74
F7	13	24
F8	X	30
F9	X	13
FA2H	16	11
FAAH	1	10
FAAH2	X	18
FABP1	2	4
FABP12	8	6
FABP2	4	6
FABP3	1	3
FABP4	8	6
FABP5	8	2
FABP6	5	16
FABP7	6	3
FABP9	8	8
FADD	11	2
FADS1	11	4
FADS2	11	3
FADS3	11	5
FADS6	17	11
FAF1	1	6
FAF2	5	3
FAH	15	18
FAHD1	16	9
FAHD2A	2	1
FAHD2B	2	1
FAIM	3	9
FAIM2	12	3
FAIM3	1	10
FAM100A	16	1
FAM100B	17	1
FAM101A	12	4
FAM101B	17	2
FAM102A	9	3
FAM102B	1	7
FAM104A	17	9
FAM104B	X	7
FAM105A	5	11
FAM105B	5	4
FAM107A	3	6
FAM107B	10	7
FAM108A1	19	5
FAM108B1	9	2
FAM109A	12	3
FAM109B	22	7
FAM110A	20	5
FAM110B	8	7
FAM110C	2	2
FAM110D	1	1
FAM111A	11	19
FAM111B	11	15
FAM114A1	4	30
FAM114A2	5	18
FAM115A	7	5
FAM116A	3	10
FAM116B	22	11
FAM117A	17	4
FAM117B	2	4
FAM118A	22	10
FAM118B	11	7
FAM120A	9	6
FAM120AOS	9	5
FAM120B	6	22
FAM120C	X	6
FAM122A	9	3
FAM122B	X	2
FAM122C	X	4
FAM123A	13	13
FAM123B	X	21
FAM123C	2	20
FAM124A	13	14
FAM124B	2	11
FAM125A	19	20
FAM125B	9	3
FAM126A	7	19
FAM126B	2	7
FAM129A	1	33
FAM129B	9	22
FAM129C	19	28
FAM131A	3	4
FAM131B	7	6
FAM131C	1	4
FAM132A	1	13
FAM133A	X	2
FAM133B	7	2
FAM134A	2	9
FAM134B	5	10
FAM134C	17	13
FAM135A	6	25
FAM135B	8	34
FAM136A	2	4
FAM13A	4	31
FAM13B	5	13
FAM13C	10	22
FAM149A	4	38
FAM149B1	10	6
FAM150A	8	1
FAM151A	1	29
FAM151B	5	11
FAM154A	9	32
FAM154B	15	20
FAM155A	13	5
FAM155B	X	8
FAM159A	1	6
FAM159B	5	6
FAM160A1	4	14
FAM160A2	11	30
FAM160B1	10	9
FAM160B2	8	22
FAM161A	2	23
FAM161B	14	24
FAM162A	3	16
FAM162B	6	5
FAM163A	1	2
FAM165B	21	5
FAM166A	9	23
FAM166B	9	7
FAM167A	8	12
FAM167B	1	4
FAM168B	2	2
FAM169A	5	9
FAM169B	15	8
FAM170A	5	14
FAM170B	10	12
FAM171A1	10	20
FAM171A2	17	3
FAM171B	2	11
FAM172A	5	6
FAM173A	16	3
FAM173B	5	18
FAM174A	5	6
FAM174B	15	6
FAM175A	4	10
FAM175B	10	8
FAM176A	2	4
FAM176B	1	2
FAM176C	21	9
FAM177A1	14	3
FAM177B	1	8
FAM178A	10	21
FAM178B	2	10
FAM179A	2	55
FAM179B	14	35
FAM180A	7	4
FAM180B	11	1
FAM181A	14	14
FAM181B	11	5
FAM183A	1	6
FAM184A	6	14
FAM184B	4	21
FAM185A	7	4
FAM186A	12	39
FAM186B	12	39
FAM187B	19	25
FAM188A	10	13
FAM188B	7	35
